"Participant_ID","condition","measure","score"
2,"PC","word",231
3,"PC","word",207
4,"PC","word",371
7,"PC","word",189
9,"PC","word",247
10,"PC","word",200
2,"VR","word",249
3,"VR","word",230
4,"VR","word",280
7,"VR","word",212
9,"VR","word",303
10,"VR","word",275
2,"PC","speed_pre",36
3,"PC","speed_pre",30
4,"PC","speed_pre",57
7,"PC","speed_pre",48
9,"PC","speed_pre",50
10,"PC","speed_pre",62
2,"VR","speed_pre",28
3,"VR","speed_pre",23
4,"VR","speed_pre",46
7,"VR","speed_pre",45
9,"VR","speed_pre",48
10,"VR","speed_pre",50
2,"PC","word_weighted",231
3,"PC","word_weighted",207
4,"PC","word_weighted",371
7,"PC","word_weighted",189
9,"PC","word_weighted",247
10,"PC","word_weighted",200
2,"VR","word_weighted",293.632
3,"VR","word_weighted",271.226
4,"VR","word_weighted",330.188
7,"VR","word_weighted",250
9,"VR","word_weighted",357.311
10,"VR","word_weighted",324.292
